Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nf,C_0603_1608Metric,205.867,-85.979,-90.0,top
C2,1uf,C_0603_1608Metric,207.645,-85.979,-90.0,top
C3,4.7uf,C_0603_1608Metric,126.238,-81.013,90.0,top
C4,4.7uf,C_0603_1608Metric,130.556,-107.315,-90.0,top
C5,4.7uf,C_0603_1608Metric,124.333,-81.013,90.0,top
C6,100nf,C_0603_1608Metric,203.581,-85.979,90.0,top
C7,4.7uf,C_0603_1608Metric,132.334,-107.315,-90.0,top
C8,10uf,C_0603_1608Metric,140.97,-82.169,90.0,top
C9,10uf,C_0603_1608Metric,139.827,-106.553,0.0,top
C10,220uf,CP_Elec_10x10,113.538,-109.7145,90.0,top
C11,100nf,C_0603_1608Metric,188.849,-111.252,-90.0,top
C12,100nf,C_0603_1608Metric,174.879,-111.252,-90.0,top
C13,1uf,C_0603_1608Metric,169.799,-108.966,180.0,top
C14,100nf,C_0603_1608Metric,170.307,-118.491,180.0,top
C15,100nf,C_0603_1608Metric,144.78,-108.458,90.0,top
C16,1uf,C_0603_1608Metric,163.449,-108.966,0.0,top
C17,1uf,C_0603_1608Metric,166.624,-108.966,0.0,top
C18,1uf,C_0603_1608Metric,143.002,-108.458,90.0,top
C19,1uf,C_0603_1608Metric,172.974,-112.395,-90.0,top
C20,100nf,C_0603_1608Metric,132.3555,-111.506,90.0,top
C21,100nf,C_0603_1608Metric,186.563,-100.33,90.0,top
C22,100nf,C_0603_1608Metric,177.165,-100.33,90.0,top
C23,10uf,C_0603_1608Metric,119.761,-85.0415,90.0,top
C24,10uf,C_0603_1608Metric,125.095,-85.0415,-90.0,top
C25,100nf,C_0603_1608Metric,118.237,-117.602,-90.0,top
C26,10pf,C_0603_1608Metric,176.53,-80.244,0.0,top
C27,100nf,C_0603_1608Metric,190.5,-114.173,180.0,top
C28,100nf,C_0603_1608Metric,186.69,-81.28,-90.0,top
D1,1n4004,D_SMA,105.918,-110.395,90.0,top
D2,1N4148,D_SOD-323,183.896,-80.137,180.0,top
D3,1N4148,D_SOD-323,186.69,-85.217,-90.0,top
F1,CFS12V3T5R0,Fuse_1206_3216Metric,106.045,-115.57,0.0,top
F2,1.5A,Fuse_1812_4532Metric,128.2915,-110.998,0.0,top
FB1,Bead,Fuse_0603_1608Metric,143.3575,-82.931,180.0,top
FB3,Bead,Fuse_0603_1608Metric,136.652,-106.553,0.0,top
J1,VIN,BarrelJack_Horizontal,111.443,-121.716,90.0,top
J4,Comm,RJ45_Ninigi_GE,135.532,-121.84,0.0,top
J5,SD_Memory,microSD_HC_Molex_104031-0811,184.531,-123.165,180.0,top
J7,RS232,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,161.635,-123.167,0.0,top
J8,RTC_BAT,BS-06-B4AA012,156.718,-87.884,0.0,top
J9,DEBUG,Molex_PicoBlade_53398-0471_1x04-1MP_P1.25mm_Vertical,202.946,-113.411,180.0,top
K1,PWR_RELAY,Relay_SPDT_HJR-4102,98.933,-97.409,0.0,top
Q1,BS250,SOT-23,191.77,-111.0465,-90.0,top
R1,4.7k,R_0603_1608Metric,200.152,-108.585,0.0,top
R2,30k,R_0603_1608Metric,120.142,-109.601,-90.0,top
R3,4.7k,R_0603_1608Metric,205.74,-108.585,0.0,top
R4,1k,R_0603_1608Metric,186.817,-93.98,180.0,top
R5,4.7k,R_0603_1608Metric,172.085,-99.632,-90.0,top
R6,4.7k,R_0603_1608Metric,172.085,-96.203,90.0,top
R7,330,R_0603_1608Metric,174.244,-91.948,0.0,top
R8,470,R_0603_1608Metric,151.003,-117.729,-90.0,top
R9,10k,R_0603_1608Metric,201.676,-85.979,-90.0,top
R10,470,R_0603_1608Metric,144.78,-111.76,90.0,top
R11,330,R_0603_1608Metric,141.351,-96.52,180.0,top
R12,330,R_0603_1608Metric,141.351,-92.964,180.0,top
R13,1k,R_0603_1608Metric,126.111,-93.98,0.0,top
R14,1k,R_0603_1608Metric,126.111,-87.503,0.0,top
R15,100,R_0603_1608Metric,192.913,-116.205,90.0,top
R16,100,R_0603_1608Metric,194.564,-116.205,90.0,top
R17,100,R_0603_1608Metric,196.215,-116.205,90.0,top
R18,10k,R_0603_1608Metric,195.199,-109.7765,180.0,top
R19,10k,R_0603_1608Metric,187.452,-115.316,0.0,top
RN1,10k,R_Cat16-4,183.769,-114.808,90.0,top
RV1,Varistor,Fuse_0603_1608Metric,105.156,-92.329,-90.0,top
SW1,RST,SW_SPST_Omron_B3F-315x_Angled,201.676001,-125.77,180.0,top
TH2,300mA,Fuse_0603_1608Metric,121.793,-81.775,180.0,top
TH3,300mA,Fuse_0603_1608Metric,126.873,-106.553,180.0,top
U1,H7150-1,SOT-23,122.428,-85.0415,90.0,top
U2,DRV8871DDA,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,122.047,-115.57,-90.0,top
U3,EL817,SOIC254P1030X460-4N,133.604,-95.25,180.0,top
U4,B1203S-1WR3,B1205S-1WR3,133.604,-83.439,0.0,top
U5,ESP32-WROOM-32U,MODULE_ESP32-WROOM-32UE_M113EH6400UH3Q0_,198.488,-97.639,-90.0,top
U6,B1205S-1WR3,B1205S-1WR3,133.604,-104.394,0.0,top
U7,EL817,SOIC254P1030X460-4N,133.604,-88.773,180.0,top
U8,TPD2E007,SOT-323_SC-70,147.193,-117.729,0.0,top
U9,TPD2E007,SOT-323_SC-70,159.258,-117.475,90.0,top
U10,ISO1540,SOIC-8_3.9x4.9mm_P1.27mm,181.864,-97.917,180.0,top
U11,ADuM1402xRW,SOIC-16W_7.5x10.3mm_P1.27mm,181.864,-107.442,180.0,top
U12,EL817,SOIC254P1030X460-4N,181.864,-90.551,0.0,top
U13,MAX232,SOIC-16_3.9x9.9mm_P1.27mm,166.624,-113.73,-90.0,top
U14,P82B715DR,SOIC-8_3.9x4.9mm_P1.27mm,148.463,-112.395,90.0,top
U15,SRV05-4,SOT-23-6,139.7,-110.998,-90.0,top
U16,PCF8563T,SOIC-8_3.9x4.9mm_P1.27mm,181.864,-83.947,0.0,top
